Model,Architecture
i9-9900K,Coffee Lake
i7-9700E,Coffee Lake
i7-9850HE,Coffee Lake
i7-9700TE,Coffee Lake
i7-9850HL,Coffee Lake
i7-9750H,Coffee Lake
i7-9750HF,Coffee Lake
i7-9850H,Coffee Lake
i7-9700T,Coffee Lake
i7-9700F,Coffee Lake
i7-9700,Coffee Lake
i7-9700KF,Coffee Lake
i7-9700K,Coffee Lake
i5-9500E,Coffee Lake
i5-9500TE,Coffee Lake
i5-9600T,Coffee Lake
i5-9500T,Coffee Lake
i5-9500F,Coffee Lake
i5-9600,Coffee Lake
i5-9400T,Coffee Lake
i5-9500,Coffee Lake
i5-9300H,Coffee Lake
i5-9400H,Coffee Lake
i5-9300HF,Coffee Lake
i5-9600KF,Coffee Lake
i5-9400F,Coffee Lake
i5-9400,Coffee Lake
i5-9600K,Coffee Lake
i3-9100E,Coffee Lake
i3-9100HL,Coffee Lake
i3-9100TE,Coffee Lake
i3-9100F,Coffee Lake
i3-9350K,Coffee Lake
i3-9300,Coffee Lake
i3-9300T,Coffee Lake
i3-9320,Coffee Lake
i3-9100T,Coffee Lake
i3-9100,Coffee Lake
i3-9350KF,Coffee Lake
i9-8950HK,Coffee Lake
i7-8557U,Coffee Lake
i7-8569U,Coffee Lake
i7-8086K,Coffee Lake
i7-8559U,Coffee Lake
i7-8700T,Coffee Lake
i7-8850H,Coffee Lake
i7-8700B,Coffee Lake
i7-8750H,Coffee Lake
i7-8700,Coffee Lake
i7-8700K,Coffee Lake
i5-8260U,Coffee Lake
i5-8257U,Coffee Lake
i5-8279U,Coffee Lake
i5-8259U,Coffee Lake
i5-8269U,Coffee Lake
i5-8400T,Coffee Lake
i5-8500T,Coffee Lake
i5-8500,Coffee Lake
i5-8600T,Coffee Lake
i5-8600,Coffee Lake
i5-8500B,Coffee Lake
i5-8400B,Coffee Lake
i5-8400H,Coffee Lake
i5-8300H,Coffee Lake
i5-8400,Coffee Lake
i5-8600K,Coffee Lake
i3-8140U,Coffee Lake
i3-8100B,Coffee Lake
i3-8100H,Coffee Lake
i3-8109U,Coffee Lake
i3-8100T,Coffee Lake
i3-8300T,Coffee Lake
i3-8300,Coffee Lake
i3-8350K,Coffee Lake
i3-8100,Coffee Lake
G5620,Coffee Lake
G5420,Coffee Lake
G5420T,Coffee Lake
G5600T,Coffee Lake
G5400T,Coffee Lake
G5500T,Coffee Lake
G5500,Coffee Lake
G5600,Coffee Lake
G5400,Coffee Lake
G4932E,Coffee Lake
G4930E,Coffee Lake
G4930,Coffee Lake
G4950,Coffee Lake
G4930T,Coffee Lake
G4920,Coffee Lake
G4900,Coffee Lake
G4900T,Coffee Lake
i9-12900HX,Alder Lake
i9-12950HX,Alder Lake
i9-12900KS,Alder Lake
i9-12900TE,Alder Lake
i9-12900HK,Alder Lake
i9-12900H,Alder Lake
i9-12900E,Alder Lake
i9-12900T,Alder Lake
i9-12900F,Alder Lake
i9-12900,Alder Lake
i9-12900KF,Alder Lake
i9-12900K,Alder Lake
i7-1265UL,Alder Lake
i7-12800HL,Alder Lake
i7-1255UL,Alder Lake
i7-12700HL,Alder Lake
i7-12850HX,Alder Lake
i7-12650HX,Alder Lake
i7-12800HX,Alder Lake
i7-1265UE,Alder Lake
i7-1270PE,Alder Lake
i7-1260U,Alder Lake
i7-1250U,Alder Lake
i7-1270P,Alder Lake
i7-1255U,Alder Lake
i7-1265U,Alder Lake
i7-1260P,Alder Lake
i7-1280P,Alder Lake
i7-12700F,Alder Lake
i7-12700,Alder Lake
i7-12700H,Alder Lake
i7-12700E,Alder Lake
i7-12700TE,Alder Lake
i7-12650H,Alder Lake
i7-12800H,Alder Lake
i7-12800HE,Alder Lake
i7-12700T,Alder Lake
i7-12700K,Alder Lake
i7-12700KF,Alder Lake
i5-12600HL,Alder Lake
i5-12500HL,Alder Lake
i5-1245UL,Alder Lake
i5-1235UL,Alder Lake
i5-12600HX,Alder Lake
i5-12450HX,Alder Lake
i5-1245UE,Alder Lake
i5-1250PE,Alder Lake
i5-1235U,Alder Lake
i5-1230U,Alder Lake
i5-1240U,Alder Lake
i5-1235U,Alder Lake
i5-1245U,Alder Lake
i5-1250P,Alder Lake
i5-1240P,Alder Lake
i5-12400F,Alder Lake
i5-12400,Alder Lake
i5-12450H,Alder Lake
i5-12400T,Alder Lake
i5-12500T,Alder Lake
i5-12500H,Alder Lake
i5-12500TE,Alder Lake
i5-12500E,Alder Lake
i5-12500,Alder Lake
i5-12600,Alder Lake
i5-12600T,Alder Lake
i5-12600H,Alder Lake
i5-12600HE,Alder Lake
i5-12600K,Alder Lake
i5-12600KF,Alder Lake
i3-1215UL,Alder Lake
i3-12300HL,Alder Lake
i3-1220PE,Alder Lake
i3-1215UE,Alder Lake
i3-1210U,Alder Lake
i3-1215U,Alder Lake
i3-1215U,Alder Lake
i3-1220P,Alder Lake
i3-12100TE,Alder Lake
i3-12100,Alder Lake
i3-12300HE,Alder Lake
i3-12100E,Alder Lake
i3-12100F,Alder Lake
i3-12300T,Alder Lake
i3-12100T,Alder Lake
i3-12300,Alder Lake
8500,Alder Lake
8505,Alder Lake
8505,Alder Lake
G7400TE,Alder Lake
G7400T,Alder Lake
G7400,Alder Lake
G7400E,Alder Lake
G6900,Alder Lake
G6900T,Alder Lake
G6900TE,Alder Lake
G6900E,Alder Lake
7305L,Alder Lake
7305E,Alder Lake
7300,Alder Lake
7305,Alder Lake
8362,Ice Lake
4309Y,Ice Lake
8352M,Ice Lake
5315Y,Ice Lake
5320,Ice Lake
5320T,Ice Lake
4310T,Ice Lake
6312U,Ice Lake
5318N,Ice Lake
6336Y,Ice Lake
5318S,Ice Lake
6338T,Ice Lake
4310,Ice Lake
6342,Ice Lake
6348,Ice Lake
6326,Ice Lake
6334,Ice Lake
5317,Ice Lake
5318Y,Ice Lake
4316,Ice Lake
4314,Ice Lake
6338N,Ice Lake
6314U,Ice Lake
6354,Ice Lake
8360Y,Ice Lake
6330,Ice Lake
6346,Ice Lake
8368,Ice Lake
8352V,Ice Lake
8358P,Ice Lake
8352S,Ice Lake
8368Q,Ice Lake
8351N,Ice Lake
8380,Ice Lake
6330N,Ice Lake
6338,Ice Lake
8352Y,Ice Lake
8358,Ice Lake
W-3323,Ice Lake
W-3375,Ice Lake
W-3345,Ice Lake
W-3335,Ice Lake
W-3365,Ice Lake
D-2745NX,Ice Lake
D-2757NX,Ice Lake
D-2777NX,Ice Lake
D-2798NX,Ice Lake
D-2779,Ice Lake
D-2786NTE,Ice Lake
D-2796TE,Ice Lake
D-2775TE,Ice Lake
D-2796NT,Ice Lake
D-2752TER,Ice Lake
D-2752NTE,Ice Lake
D-2798NT,Ice Lake
D-2799,Ice Lake
D-2795NT,Ice Lake
D-1748TE,Ice Lake
D-2766NT,Ice Lake
D-2776NT,Ice Lake
D-2753NT,Ice Lake
D-2738,Ice Lake
D-2733NT,Ice Lake
D-2712T,Ice Lake
D-1713NTE,Ice Lake
D-1747NTE,Ice Lake
D-1702,Ice Lake
D-1734NT,Ice Lake
D-1722NE,Ice Lake
D-1726,Ice Lake
D-1736,Ice Lake
D-1739,Ice Lake
D-1714,Ice Lake
D-1712TR,Ice Lake
D-1718T,Ice Lake
D-1732TE,Ice Lake
D-1715TER,Ice Lake
D-1735TR,Ice Lake
D-1713NT,Ice Lake
D-1749NT,Ice Lake
D-1746TER,Ice Lake
D-1733NT,Ice Lake
D-1736NT,Ice Lake
i7-1068NG7,Ice Lake
i7-1060G7,Ice Lake
i7-1065G7,Ice Lake
i5-1038NG7,Ice Lake
i5-1030G4,Ice Lake
i5-1030G7,Ice Lake
i5-1035G1,Ice Lake
i5-1035G7,Ice Lake
i5-1035G4,Ice Lake
i3-1005G1,Ice Lake
i3-1000G4,Ice Lake
i3-1000G1,Ice Lake
6805,Ice Lake
8470Q,Sapphire Rapids
8452Y,Sapphire Rapids
8450H,Sapphire Rapids
8468H,Sapphire Rapids
8444H,Sapphire Rapids
8470N,Sapphire Rapids
8490H,Sapphire Rapids
8471N,Sapphire Rapids
8460H,Sapphire Rapids
8458P,Sapphire Rapids
8461V,Sapphire Rapids
8468V,Sapphire Rapids
8454H,Sapphire Rapids
8468,Sapphire Rapids
8470,Sapphire Rapids
6444Y,Sapphire Rapids
5416S,Sapphire Rapids
6421N,Sapphire Rapids
6428N,Sapphire Rapids
5411N,Sapphire Rapids
5418N,Sapphire Rapids
6448H,Sapphire Rapids
6418H,Sapphire Rapids
6416H,Sapphire Rapids
6434H,Sapphire Rapids
6458Q,Sapphire Rapids
5412U,Sapphire Rapids
6448Y,Sapphire Rapids
6442Y,Sapphire Rapids
5418Y,Sapphire Rapids
6426Y,Sapphire Rapids
6434,Sapphire Rapids
6430,Sapphire Rapids
6454S,Sapphire Rapids
6414U,Sapphire Rapids
5423N,Sapphire Rapids
6438N,Sapphire Rapids
5433N,Sapphire Rapids
6438M,Sapphire Rapids
4410T,Sapphire Rapids
4410Y,Sapphire Rapids
3408U,Sapphire Rapids
w5-3435X,Sapphire Rapids
w3-2425,Sapphire Rapids
w3-2423,Sapphire Rapids
w9-3495X,Sapphire Rapids
w5-3425,Sapphire Rapids
w5-2445,Sapphire Rapids
w3-2435,Sapphire Rapids
w7-3455,Sapphire Rapids
w7-3445,Sapphire Rapids
w5-2455X,Sapphire Rapids
w9-3475X,Sapphire Rapids
w7-2475X,Sapphire Rapids
w7-3465X,Sapphire Rapids
w7-2495X,Sapphire Rapids
w5-2465X,Sapphire Rapids
9480,Sapphire Rapids
9470,Sapphire Rapids
9460,Sapphire Rapids
9468,Sapphire Rapids
9462,Sapphire Rapids
